epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,7982.94,0.63449,0.77932,1.20106,0.52295,0.28344,0.25758,0.20946,1.11425,1.48627,1.80688,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,8076.94,0.62966,0.7623,1.19726,0.51689,0.29436,0.28203,0.21616,1.11886,1.46665,1.82358,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,8173.68,0.62227,0.75969,1.18851,0.52006,0.2765,0.28659,0.21885,1.12144,1.50335,1.80835,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,8269.56,0.62654,0.74989,1.19769,0.53474,0.26619,0.26037,0.20965,1.12166,1.53828,1.81286,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,8363.42,0.63193,0.76687,1.2016,0.5942,0.26545,0.26692,0.21377,1.11802,1.54859,1.82738,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,8457.58,0.61038,0.73782,1.17623,0.60139,0.28664,0.26995,0.21332,1.11801,1.53284,1.83478,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,8551.63,0.60371,0.73553,1.17696,0.5906,0.27338,0.27069,0.21449,1.10495,1.52085,1.81947,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,8645.57,0.60383,0.72112,1.17403,0.54272,0.27699,0.28574,0.21831,1.11614,1.52919,1.84043,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,8739.52,0.59068,0.69688,1.16697,0.54627,0.28831,0.28485,0.22282,1.11212,1.56075,1.83517,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,8835.39,0.60285,0.72681,1.17279,0.51893,0.27524,0.27116,0.21412,1.11691,1.55371,1.83882,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,8929.27,0.58793,0.6941,1.16007,0.51987,0.28048,0.27148,0.2202,1.09553,1.544,1.81067,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,9023.26,0.58984,0.69829,1.15707,0.35009,0.31703,0.28363,0.22188,1.10817,1.58097,1.84005,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,9117.21,0.58594,0.69429,1.16465,0.51426,0.28807,0.28242,0.21893,1.11639,1.58145,1.85086,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,9211.05,0.58584,0.68054,1.15777,0.63223,0.27097,0.28418,0.22252,1.11885,1.5721,1.86647,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,9304.66,0.57651,0.66623,1.1456,0.47605,0.31077,0.28842,0.22777,1.11627,1.52466,1.86941,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,9400.43,0.57239,0.6736,1.14609,0.41016,0.31822,0.28532,0.22611,1.12231,1.56586,1.86563,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,9494.2,0.55878,0.66071,1.1322,0.45199,0.31438,0.29139,0.23027,1.12431,1.5603,1.88459,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,9589.81,0.56019,0.64418,1.13735,0.41144,0.30413,0.29181,0.22558,1.13086,1.55196,1.90896,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,9683.64,0.56003,0.65608,1.13725,0.61518,0.28177,0.29195,0.22865,1.11252,1.56415,1.88722,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,9777.54,0.55547,0.63607,1.12718,0.52688,0.29559,0.28915,0.22219,1.12224,1.58091,1.89975,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,9871.7,0.55088,0.62688,1.12465,0.54257,0.2775,0.2856,0.21743,1.12366,1.6679,1.91391,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,9966.03,0.54672,0.63133,1.12179,0.48234,0.28463,0.28751,0.21974,1.1223,1.65466,1.89452,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,10060.2,0.54966,0.6237,1.12235,0.49631,0.28782,0.27207,0.21787,1.1183,1.63922,1.88055,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,10154.5,0.54002,0.62051,1.11118,0.5083,0.28942,0.2919,0.22833,1.11929,1.5791,1.89629,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,10249,0.54336,0.60751,1.11532,0.48597,0.28555,0.29304,0.23015,1.12422,1.57239,1.92022,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,10343.5,0.54146,0.60237,1.11259,0.37539,0.30803,0.28892,0.22447,1.13228,1.63422,1.93779,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,10437.5,0.53417,0.59309,1.1077,0.47504,0.29588,0.29054,0.2283,1.12206,1.65262,1.92115,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,10531.5,0.52753,0.59105,1.10319,0.39646,0.30877,0.29021,0.22829,1.1249,1.64359,1.92587,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,10625.6,0.5315,0.58553,1.1041,0.55204,0.27072,0.29372,0.22932,1.1324,1.66217,1.92248,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,10719.6,0.52564,0.5879,1.10076,0.51376,0.27939,0.2966,0.2298,1.11779,1.65113,1.91961,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,10813.6,0.52089,0.58656,1.09439,0.55995,0.27462,0.29375,0.22734,1.11058,1.64699,1.91285,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,10907.7,0.5161,0.5795,1.08979,0.38498,0.31184,0.29123,0.22824,1.11045,1.64324,1.92208,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,11001.9,0.50641,0.55603,1.08444,0.54134,0.30424,0.29347,0.22918,1.11719,1.64204,1.92934,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,11096,0.50897,0.5678,1.08458,0.58581,0.28453,0.29294,0.22956,1.11096,1.6555,1.92113,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,11190.3,0.49838,0.55357,1.076,0.54295,0.29389,0.29485,0.22848,1.11419,1.66308,1.92651,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,11284.3,0.50208,0.55153,1.07886,0.66574,0.28009,0.27975,0.22437,1.1183,1.67526,1.93798,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,11378.1,0.50556,0.55559,1.08273,0.58424,0.29224,0.2912,0.22731,1.11615,1.67479,1.94364,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,11472.9,0.49402,0.55272,1.0731,0.52137,0.30875,0.29026,0.22985,1.1089,1.65775,1.94113,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,11567.7,0.49977,0.54572,1.07479,0.46803,0.31862,0.29201,0.23454,1.10712,1.63566,1.92726,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,11663.5,0.49176,0.54497,1.06758,0.52888,0.31381,0.29299,0.2315,1.11088,1.63443,1.93769,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,11757.6,0.48087,0.52527,1.05941,0.55704,0.30294,0.29586,0.23453,1.11427,1.63406,1.94988,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,11851.3,0.48271,0.52869,1.06306,0.66794,0.29254,0.29872,0.23471,1.12009,1.65458,1.95703,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,11947.3,0.48464,0.52142,1.06255,0.6503,0.29391,0.29802,0.23501,1.12164,1.673,1.9628,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,12043.1,0.48244,0.52209,1.05951,0.68398,0.2873,0.29699,0.23477,1.1114,1.65259,1.9537,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,12136.6,0.4784,0.52085,1.0599,0.66877,0.28381,0.29366,0.23447,1.10993,1.65568,1.95604,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,12230.2,0.47771,0.52052,1.05821,0.74981,0.28447,0.29394,0.23098,1.11356,1.67968,1.96387,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,12324,0.46949,0.5121,1.05164,0.69113,0.28683,0.29562,0.23359,1.12716,1.67468,1.984,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,12417.4,0.46844,0.50382,1.05036,0.73481,0.28723,0.29485,0.23192,1.12314,1.67055,1.98977,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,12511.2,0.45885,0.49267,1.03922,0.67847,0.28729,0.29303,0.23247,1.12499,1.67808,1.99819,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,12604.9,0.45957,0.49837,1.0468,0.64812,0.29184,0.29591,0.2351,1.12513,1.68259,1.99305,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,12700.6,0.46108,0.49654,1.04907,0.66039,0.29157,0.29675,0.2363,1.11725,1.66938,1.98958,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,12796.1,0.45652,0.49986,1.04186,0.70057,0.28866,0.29725,0.23487,1.10889,1.67543,1.98355,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,12889.5,0.45716,0.48429,1.03823,0.65749,0.29216,0.29689,0.23552,1.10778,1.67872,1.9872,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,12983.1,0.45084,0.48063,1.03485,0.65653,0.29162,0.29727,0.23442,1.11336,1.67626,1.98762,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,13076.8,0.44623,0.4863,1.03039,0.60647,0.30042,0.2961,0.2359,1.11518,1.67172,1.98727,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
