epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4419.61,0.95802,1.58281,1.41736,0.56972,0.21382,0.19382,0.14469,1.3098,1.92201,1.7203,1.46472e-05,1.46472e-05,1.46472e-05
74,4479.77,0.93364,1.53391,1.3907,0.59167,0.21438,0.19775,0.14785,1.3106,1.91736,1.72638,1.41423e-05,1.41423e-05,1.41423e-05
75,4539.57,0.93239,1.52954,1.39375,0.57146,0.21596,0.1961,0.1474,1.31103,1.92186,1.72788,1.36374e-05,1.36374e-05,1.36374e-05
76,4599.4,0.94661,1.55102,1.39797,0.56609,0.21644,0.19679,0.14788,1.30955,1.91079,1.73018,1.31325e-05,1.31325e-05,1.31325e-05
77,4659.29,0.9322,1.52571,1.38481,0.58361,0.21592,0.2006,0.15137,1.29943,1.90086,1.7259,1.26276e-05,1.26276e-05,1.26276e-05
78,4719.11,0.93153,1.53273,1.39166,0.52281,0.22023,0.19363,0.14539,1.30437,1.92685,1.72248,1.21227e-05,1.21227e-05,1.21227e-05
79,4778.91,0.92917,1.51683,1.39047,0.58908,0.20714,0.19429,0.14688,1.311,1.92464,1.72504,1.16178e-05,1.16178e-05,1.16178e-05
80,4838.82,0.9225,1.50602,1.38424,0.57171,0.21469,0.19996,0.15083,1.30044,1.89096,1.72089,1.11129e-05,1.11129e-05,1.11129e-05
81,4898.71,0.92779,1.49711,1.38684,0.56021,0.21984,0.19534,0.14673,1.30822,1.90724,1.72532,1.0608e-05,1.0608e-05,1.0608e-05
82,4958.59,0.92068,1.49384,1.38794,0.51691,0.22119,0.19852,0.14998,1.28493,1.88921,1.71742,1.01031e-05,1.01031e-05,1.01031e-05
83,5019.14,0.92978,1.51859,1.38803,0.52987,0.22589,0.1955,0.14731,1.28698,1.89012,1.72321,9.5982e-06,9.5982e-06,9.5982e-06
84,5081.79,0.91194,1.48715,1.37516,0.52279,0.2238,0.19783,0.14872,1.29339,1.89447,1.72523,9.0933e-06,9.0933e-06,9.0933e-06
85,5145.21,0.91073,1.48717,1.37769,0.51952,0.22439,0.19704,0.14891,1.28933,1.89076,1.71583,8.5884e-06,8.5884e-06,8.5884e-06
86,5208.6,0.89638,1.46044,1.36729,0.57275,0.21392,0.19636,0.14825,1.29449,1.90214,1.72174,8.0835e-06,8.0835e-06,8.0835e-06
87,5271.51,0.92891,1.49298,1.39136,0.57651,0.22516,0.19712,0.1481,1.28968,1.90097,1.71244,7.5786e-06,7.5786e-06,7.5786e-06
88,5335.13,0.91586,1.50181,1.38578,0.56622,0.22179,0.19703,0.14936,1.29279,1.89124,1.71736,7.0737e-06,7.0737e-06,7.0737e-06
89,5398.58,0.90916,1.46284,1.36952,0.57829,0.21276,0.19723,0.1481,1.29772,1.89122,1.72112,6.5688e-06,6.5688e-06,6.5688e-06
90,5461.82,0.90965,1.47362,1.37044,0.6104,0.21654,0.19717,0.14768,1.2965,1.89124,1.72071,6.0639e-06,6.0639e-06,6.0639e-06
91,5524.36,1.19759,1.90246,1.65085,0.45931,0.23072,0.19054,0.14075,1.32502,1.92325,1.7522,5.559e-06,5.559e-06,5.559e-06
92,5578.99,1.06961,1.64324,1.55806,0.41941,0.23425,0.19286,0.14236,1.33133,1.90974,1.74299,5.0541e-06,5.0541e-06,5.0541e-06
93,5633.73,1.04069,1.57799,1.53339,0.56506,0.21271,0.19475,0.1443,1.33175,1.89704,1.73579,4.5492e-06,4.5492e-06,4.5492e-06
94,5688.19,1.03429,1.56278,1.53298,0.52594,0.20778,0.1958,0.14496,1.33355,1.89097,1.73533,4.0443e-06,4.0443e-06,4.0443e-06
95,5742.71,1.02218,1.54814,1.52187,0.47462,0.21479,0.1965,0.14504,1.32318,1.89114,1.73021,3.5394e-06,3.5394e-06,3.5394e-06
96,5797.39,1.01115,1.52399,1.51399,0.4884,0.21523,0.19698,0.14592,1.32128,1.89115,1.72789,3.0345e-06,3.0345e-06,3.0345e-06
97,5851.96,1.00408,1.49888,1.50239,0.48865,0.2156,0.19635,0.14535,1.32396,1.89081,1.7288,2.5296e-06,2.5296e-06,2.5296e-06
98,5906.67,1.0002,1.49256,1.50292,0.48228,0.21591,0.19787,0.14702,1.32258,1.8817,1.72791,2.0247e-06,2.0247e-06,2.0247e-06
99,5961.34,1.00969,1.4912,1.50357,0.48757,0.21599,0.19956,0.14832,1.32003,1.87562,1.72502,1.5198e-06,1.5198e-06,1.5198e-06
100,6016.04,0.9964,1.49074,1.50602,0.48871,0.21824,0.19925,0.14819,1.31787,1.8725,1.72325,1.0149e-06,1.0149e-06,1.0149e-06
